System,Device,SensingDevice,Sensor,name,value,timestamp,location
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,7.080000000000001,2021-01-01 02:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,23.69,2021-01-01 02:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.69,2021-01-01 02:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.32333333333333,2021-01-01 02:00:00+01:00,room2
MA TestSystem,device_main,raspberry,,processor,7.080000000000001,2021-01-01 02:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,23.69,2021-01-01 02:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.69,2021-01-01 02:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.32333333333333,2021-01-01 02:00:05+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.46,2021-01-01 03:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,7.25,2021-01-01 03:00:00+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.293333333333333,2021-01-01 03:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,23.69,2021-01-01 03:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.293333333333333,2021-01-01 03:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,22.46,2021-01-01 03:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,7.25,2021-01-01 03:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,23.69,2021-01-01 03:00:05+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,7.34,2021-01-01 04:00:00+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.44,2021-01-01 04:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.38,2021-01-01 04:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,23.81,2021-01-01 04:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.38,2021-01-01 04:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.44,2021-01-01 04:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,23.81,2021-01-01 04:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,7.34,2021-01-01 04:00:05+01:00,outside
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,23.69,2021-01-01 05:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.33,2021-01-01 05:00:00+01:00,room2
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,7.470000000000001,2021-01-01 05:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.436666666666667,2021-01-01 05:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.33,2021-01-01 05:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,23.69,2021-01-01 05:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,7.470000000000001,2021-01-01 05:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.436666666666667,2021-01-01 05:00:05+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,23.88,2021-01-01 06:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.22666666666667,2021-01-01 06:00:00+01:00,room2
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,7.39,2021-01-01 06:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.5,2021-01-01 06:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,23.88,2021-01-01 06:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.22666666666667,2021-01-01 06:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,7.39,2021-01-01 06:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.5,2021-01-01 06:00:05+01:00,room1
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.5,2021-01-01 07:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,23.75,2021-01-01 07:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,7.146666666666666,2021-01-01 07:00:00+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.406666666666663,2021-01-01 07:00:00+01:00,room2
MA TestSystem,device_main,raspberry,,processor,22.5,2021-01-01 07:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,23.75,2021-01-01 07:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.406666666666663,2021-01-01 07:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,7.146666666666666,2021-01-01 07:00:05+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.626666666666665,2021-01-01 08:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,24.06,2021-01-01 08:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,6.756666666666667,2021-01-01 08:00:00+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,21.686666666666667,2021-01-01 08:00:00+01:00,room2
MA TestSystem,device_main,raspberry,,processor,24.06,2021-01-01 08:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.686666666666667,2021-01-01 08:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,6.756666666666667,2021-01-01 08:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.626666666666665,2021-01-01 08:00:05+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,21.136000000000003,2021-01-01 09:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,23.83333333333333,2021-01-01 09:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.035,2021-01-01 09:00:00+01:00,room1
